Park,country,longitude,latitude
Lion Park,Botswana,25.816110124173193,-24.78644025
Cairo Land,Egypt,30.9812816,30.0750677
Dream Park,Egypt,31.054534157904307,29.966549399999998
Geroland,Egypt,31.477583508307948,30.17316645
Sindbad City,Egypt,34.8091309,29.3881126
Family Park,Egypt,31.4994023,30.0769076
Magic Park,Morocco,-6.812082665728198,34.02702545
Dreamworld Africana,Nigeria,3.54257,6.4404192
Hi-Impact Planet,Nigeria,3.4193644,6.7288123
Emperors Palace,South Africa,28.2219998329207,-26.1453546
Gold Reef City,South Africa,28.0100093,-26.2370567
Mini town,South Africa,31.0355736,-29.8445623
uShaka Marine World,South Africa,31.0453966167251,-29.87007295
Durban Funworld,South Africa,31.03892768482335,-29.854092950000002
Valley of Waves,South Africa,27.095813006715105,-25.3418286
Playland,North America,-80.1053979,32.9183092
Rattlesnake Canyon,North America,-119.4751135,46.343026
Magic Mountain,North America,-77.116897,39.039035
Chippewa Park,North America,-87.7049395315436,42.004444050000004
Clifton Hill,North America,-77.717551,35.036021
Storybook Park,North America,-94.0239127918104,44.1690409
F.U.N Park,North America,-103.4841977,35.3656414
Sunset Park,North America,-77.9472102,34.2023925
Splash,North America,-97.39051534631292,27.8172067
Ventura Park,North America,-119.305907,34.3534939
4D Farm,North America,-78.78568,35.722538
Spring Park,North America,-78.52086683380307,35.956411599999996
Pioneer Park,North America,-122.40602634033027,37.80269215
Castles N' Coasters,North America,-112.11854441949163,33.572184
Magic Springs,North America,-89.44599282988266,34.7786791
Boomers,North America,-122.6805061,45.6135899
Fun Town at Micke Grove,North America,-121.2730736037507,38.0780321
Golfland,North America,-117.85203437894364,33.85104685
Adventure City,North America,-96.1799449,38.4068172
Belmont Park,North America,-78.92781953044218,36.02713935
Boomers,North America,-122.6805061,45.6135899
"Disney California Adventure, Disneyland",North America,-117.9204704,33.8137559
Golfland,North America,-117.85203437894364,33.85104685
Pacific Park,North America,-117.4859689114757,47.7366685
SeaWorld San Diego,North America,-117.18859868710761,32.760600350000004
City Park,North America,-99.1151935,47.444649749999996
Copper Mountain,North America,-80.856881,35.027872
Ocean Beach Park,North America,-78.685453,33.818259
Funland,North America,-92.30540994396733,34.8020229
Adventure Landing,North America,-81.41267313845614,30.286899
Boomers,North America,-122.6805061,45.6135899
Wild Adventures,North America,-93.1930187,36.4886042
Funland,North America,-92.30540994396733,34.8020229
Raging Waves Waterpark,North America,-88.44482675534604,41.69849845
Carousel Corner,North America,-82.524174,35.282818
Indiana Beach,North America,-86.78200890178127,40.7945692
Lark Ranch,North America,-105.167092,39.5993079
All Star Adventures,North America,-97.22412883213156,37.7006899
Kiddieland,North America,-82.3160679,35.6197391
Celebration Station,North America,-79.89319804212529,36.0583551
Glen Echo Park,North America,-122.2521076843255,37.824565449999994
Berkshire East,North America,-79.09187812911124,35.9152739
MASS MoCA,North America,-73.1159050972475,42.701278900000005
Como Town,North America,-77.0105598,36.5002688
Nickelodeon Universe,North America,-93.24199509987088,44.8546887
Spirit Mountain,North America,-83.2735388,35.341354
Valleyfair,North America,-93.4566838,44.8000183
Worlds of Fun,North America,-94.49762627971492,39.183519849999996
Scheels,North America,-100.7864472,46.7967158
Buffalo Bill's,North America,-100.7916041,41.12294
Idlewild Park,North America,-92.25657826083494,34.7866998
Canobie Lake Park,North America,-71.2482031398638,42.7941945
Cranmore Mountain Adventure Park,North America,-71.111391,44.0540184
Story Land,North America,-77.110635,39.0567916
Funplex,North America,-78.87572675356842,33.69623665
Nickelodeon Universe Theme Park,North America,-93.24199509987088,44.8546887
Wild West City,North America,-97.3205097,37.8201934
Luna Park,North America,-110.95751417712393,32.23520635
Playland,North America,-80.1053979,32.9183092
Eldridge Park,North America,-85.2622487,35.1294128
Holiday Valley,North America,-117.2835348,47.6776725
Huck Finn's Playland,North America,-73.73760977669491,42.66494335
Midway State Park,North America,-80.658647,35.06118
Mount Van Hoevenberg,North America,-73.9293254,44.2101097
Whiteface,North America,-74.0026498,44.3111581
Carowinds,North America,-80.94165894990431,35.1029168
Deadwood,North America,-71.87753879339623,41.5075553
Santa's Land,North America,-83.2637602,35.4678777
Scaly Mountain Outdoor Center,North America,-83.30676990684947,35.0214012
Tweetsie Railroad,North America,-81.64849958853395,36.17077645
Cedar Point,North America,-77.0730745,34.6876305
Hall of Fame Village,North America,-75.75014544999999,43.0896405
Kings Island,North America,-78.226449,33.9144351
Frontier City,North America,-97.4416119255078,35.583333100000004
Kiddie Park,North America,-98.47304988769261,29.462333649999998
Bullwinkle's,North America,-147.0323924,64.5560182
Enchanted Forest,North America,-80.69062691202599,35.07269465
Arnold's Family Fun Center,North America,-75.4565267,40.1234766
Hersheypark,North America,-76.6148191,40.3089452
Lakemont Park,North America,-78.819266,35.97254
Atlantic Beach Park,North America,-76.75136200438584,34.69980485
Broadway Grand Prix,North America,-78.89124193113057,33.720012600000004
Carowinds,North America,-80.94165894990431,35.1029168
The Funplex Myrtle Beach,North America,-78.87572675356842,33.69623665
Pavilion Park,North America,-87.76653465069734,41.9546806
Thunder Road Family Fun Park,North America,-96.84243914999999,46.83768205
Landa Park,North America,-122.71301759137144,45.5623212
